,Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
1182,00:00 - 01:00,123.71,0.12,123.59,123.73,123.44,15115.0,N.A.
1183,01:00 - 02:00,123.72,0.01,123.71,123.85,123.33,26801.0,N.A.
1184,02:00 - 03:00,123.59,-0.13,123.73,123.85,123.47,30153.0,N.A.
1185,03:00 - 04:00,123.45,-0.14,123.59,123.89,123.32,28804.0,N.A.
1186,04:00 - 05:00,122.92,-0.53,123.45,123.5,122.91,25502.0,N.A.
1187,05:00 - 06:00,122.72,-0.2,122.92,123.08,122.38,27634.0,N.A.
1188,06:00 - 07:00,123.17,0.45,122.72,123.31,122.56,24200.0,N.A.
1189,07:00 - 08:00,122.87,-0.3,123.17,123.3,122.71,23508.0,N.A.
1190,08:00 - 09:00,124.17,1.3,122.87,124.25,122.52,35896.0,N.A.
1191,09:00 - 10:00,124.5,0.33,124.17,124.96,124.0,34079.0,N.A.
1192,10:00 - 11:00,123.8,-0.7,124.5,124.71,123.54,30319.0,N.A.
1193,11:00 - 12:00,124.05,0.25,123.81,124.26,123.62,28130.0,N.A.
1194,12:00 - 13:00,123.98,-0.07,124.04,124.26,123.75,22684.0,N.A.
1195,13:00 - 14:00,124.07,0.09,123.98,124.11,123.64,20237.0,N.A.
1196,14:00 - 15:00,124.05,-0.02,124.07,124.41,123.89,21247.0,N.A.
1197,15:00 - 16:00,124.2,0.15,124.04,124.36,123.69,22038.0,N.A.
1198,16:00 - 17:00,124.34,0.14,124.2,124.45,124.2,9935.0,N.A.
1200,14:00 - 15:00,124.35,0.01,124.39,124.39,124.3,259.0,N.A.
1201,15:00 - 16:00,124.35,0.0,124.35,124.35,124.34,488.0,N.A.
1202,16:00 - 17:00,124.35,0.0,124.35,124.42,124.23,554.0,N.A.
1203,17:00 - 18:00,124.68,0.33,124.35,124.76,124.21,2680.0,N.A.
1204,18:00 - 19:00,124.55,-0.13,124.68,124.7,124.39,9494.0,N.A.
1205,19:00 - 20:00,124.55,0.0,124.55,124.84,124.46,14847.0,N.A.
1206,20:00 - 21:00,124.81,0.26,124.55,125.0,124.53,17552.0,N.A.
1207,21:00 - 22:00,124.65,-0.16,124.81,124.84,124.61,13044.0,N.A.
1208,22:00 - 23:00,124.76,0.11,124.65,125.03,124.64,14095.0,N.A.
1209,23:00 - 00:00,124.25,-0.51,124.76,124.77,124.18,14863.0,N.A.
1211,00:00 - 01:00,124.28,0.03,124.25,124.47,124.19,15079.0,N.A.
1212,01:00 - 02:00,124.5,0.22,124.28,124.51,124.28,14635.0,N.A.
1213,02:00 - 03:00,124.31,-0.19,124.5,124.5,123.98,19441.0,N.A.
1214,03:00 - 04:00,124.87,0.56,124.31,125.04,124.11,25038.0,N.A.
1215,04:00 - 05:00,124.58,-0.29,124.87,124.87,124.36,26690.0,N.A.
1216,05:00 - 06:00,124.6,0.02,124.58,124.64,124.22,27265.0,N.A.
1217,06:00 - 07:00,124.67,0.07,124.6,124.98,124.56,28981.0,N.A.
1218,07:00 - 08:00,124.52,-0.15,124.67,124.81,124.49,29026.0,N.A.
1219,08:00 - 09:00,124.36,-0.16,124.52,124.78,124.13,28165.0,N.A.
1220,09:00 - 10:00,124.75,0.39,124.36,124.94,124.34,30294.0,N.A.
1221,10:00 - 11:00,124.89,0.14,124.75,125.46,124.68,31061.0,N.A.
1222,11:00 - 12:00,124.95,0.06,124.89,125.11,124.66,29281.0,N.A.
1223,12:00 - 13:00,125.11,0.16,124.95,125.27,124.87,24929.0,N.A.
1224,13:00 - 14:00,124.87,-0.24,125.11,125.11,124.73,22570.0,N.A.
1225,14:00 - 15:00,124.78,-0.09,124.87,125.01,124.69,18599.0,N.A.
1226,15:00 - 16:00,124.6,-0.18,124.78,124.84,124.44,19988.0,N.A.
1227,16:00 - 17:00,124.65,0.05,124.6,124.67,124.34,14109.0,N.A.
1228,17:00 - 18:00,124.52,-0.13,124.65,124.75,124.48,9305.0,N.A.
1229,18:00 - 19:00,124.58,0.06,124.52,124.59,124.32,12480.0,N.A.
1230,19:00 - 20:00,124.87,0.29,124.58,124.89,124.57,15547.0,N.A.
