,Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
178,13:00 - 14:00,1.5183,0.0015,1.5168,1.5185,1.5164,130015.0,N.A.
179,14:00 - 15:00,1.5163,-0.002,1.5183,1.5192,1.5162,86224.0,N.A.
180,15:00 - 16:00,1.5179,0.0016,1.5163,1.5185,1.516,73661.0,N.A.
181,16:00 - 17:00,1.5181,0.0002,1.5179,1.5187,1.5177,55357.0,N.A.
182,17:00 - 18:00,1.5182,0.0001,1.5181,1.5187,1.5177,48144.0,N.A.
183,18:00 - 19:00,1.5179,-0.0003,1.5182,1.5185,1.5174,92509.0,N.A.
184,19:00 - 20:00,1.5188,0.0009,1.5179,1.5196,1.5179,60926.0,N.A.
185,20:00 - 21:00,1.5178,-0.001,1.5188,1.5188,1.5174,53676.0,N.A.
186,21:00 - 22:00,1.5173,-0.0005,1.5178,1.5178,1.517,41923.0,N.A.
187,22:00 - 23:00,1.5175,0.0002,1.5173,1.5183,1.5171,45800.0,N.A.
188,23:00 - 00:00,1.5171,-0.0004,1.5175,1.5182,1.5171,40475.0,N.A.
190,00:00 - 01:00,1.5178,0.0007,1.5171,1.518,1.5171,38165.0,N.A.
191,01:00 - 02:00,1.5177,-0.0001,1.5178,1.5185,1.5172,51594.0,N.A.
192,02:00 - 03:00,1.5172,-0.0005,1.5177,1.5184,1.5167,66666.0,N.A.
193,03:00 - 04:00,1.5174,0.0002,1.5172,1.5181,1.5157,98720.0,N.A.
194,04:00 - 05:00,1.518,0.0006,1.5174,1.5189,1.5168,80441.0,N.A.
195,05:00 - 06:00,1.5176,-0.0004,1.518,1.5188,1.5169,81962.0,N.A.
196,06:00 - 07:00,1.518,0.0004,1.5176,1.5202,1.517,88136.0,N.A.
197,07:00 - 08:00,1.5136,-0.0044,1.518,1.5184,1.5111,145504.0,N.A.
198,08:00 - 09:00,1.5159,0.0023,1.5136,1.5161,1.5121,108706.0,N.A.
199,09:00 - 10:00,1.5185,0.0026,1.5159,1.5188,1.5152,96825.0,N.A.
200,10:00 - 11:00,1.5163,-0.0022,1.5185,1.5187,1.5159,99342.0,N.A.
201,11:00 - 12:00,1.5174,0.0011,1.5163,1.5184,1.5163,74838.0,N.A.
202,12:00 - 13:00,1.5168,-0.0006,1.5174,1.5182,1.5166,58891.0,N.A.
203,13:00 - 14:00,1.5165,-0.0003,1.5168,1.5172,1.5153,57706.0,N.A.
204,14:00 - 15:00,1.5156,-0.0009,1.5165,1.5166,1.5154,53831.0,N.A.
205,15:00 - 16:00,1.5161,0.0005,1.5156,1.5161,1.5151,51881.0,N.A.
206,16:00 - 17:00,1.516,-0.0001,1.5161,1.5161,1.5154,44040.0,N.A.
207,17:00 - 18:00,1.5156,-0.0004,1.516,1.5163,1.5155,44377.0,N.A.
208,18:00 - 19:00,1.516,0.0004,1.5156,1.5161,1.5156,56140.0,N.A.
209,19:00 - 20:00,1.5153,-0.0007,1.516,1.516,1.5148,48635.0,N.A.
210,20:00 - 21:00,1.5146,-0.0007,1.5153,1.5155,1.5141,45490.0,N.A.
211,21:00 - 22:00,1.5137,-0.0009,1.5146,1.5146,1.5136,40425.0,N.A.
212,22:00 - 23:00,1.5142,0.0005,1.5137,1.5142,1.5134,31462.0,N.A.
213,23:00 - 00:00,1.5141,-0.0001,1.5142,1.5143,1.5138,29788.0,N.A.
