Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
03:00 - 04:00,1.5076,-0.0026,1.5102,1.5104,1.5055,97736,N.A.
04:00 - 05:00,1.5066,-0.001,1.5076,1.5078,1.5059,68235,N.A.
05:00 - 06:00,1.5081,0.0015,1.5066,1.5082,1.506,59678,N.A.
06:00 - 07:00,1.5063,-0.0018,1.5081,1.5092,1.5061,60896,N.A.
07:00 - 08:00,1.5068,0.0005,1.5063,1.5084,1.5057,66124,N.A.
08:00 - 09:00,1.5078,0.001,1.5068,1.508,1.5057,79251,N.A.
09:00 - 10:00,1.5072,-0.0006,1.5078,1.5082,1.5064,91491,N.A.
10:00 - 11:00,1.5071,-0.0001,1.5072,1.5082,1.5064,103525,N.A.
11:00 - 12:00,1.5073,0.0002,1.5071,1.508,1.5063,96590,N.A.
12:00 - 13:00,1.5061,-0.0012,1.5073,1.5076,1.5061,57282,N.A.
13:00 - 14:00,1.5048,-0.0013,1.5061,1.5063,1.5045,58317,N.A.
14:00 - 15:00,1.5064,0.0016,1.5048,1.5078,1.5047,75719,N.A.
15:00 - 16:00,1.5052,-0.0012,1.5064,1.5065,1.505,41434,N.A.
16:00 - 17:00,1.5055,0.0003,1.5052,1.5056,1.5045,37816,N.A.
17:00 - 18:00,1.5048,-0.0007,1.5055,1.5058,1.5047,41638,N.A.
18:00 - 19:00,1.5049,0.0001,1.5048,1.5055,1.5045,43359,N.A.
19:00 - 20:00,1.5049,0,1.5049,1.5051,1.5046,44156,N.A.
20:00 - 21:00,1.5051,0.0002,1.5049,1.5052,1.5043,41158,N.A.
21:00 - 22:00,1.5052,0.0001,1.5051,1.5056,1.5048,41548,N.A.
22:00 - 23:00,1.5043,-0.0009,1.5052,1.5052,1.5041,40999,N.A.
23:00 - 00:00,1.5045,0.0002,1.5043,1.5048,1.5041,36319,N.A.
08DEC2015_00:00:00.000,,,,,,,
00:00 - 01:00,1.5043,-0.0002,1.5045,1.5049,1.5038,41132,N.A.
01:00 - 02:00,1.5044,0.0001,1.5043,1.5047,1.5041,36827,N.A.
02:00 - 03:00,1.505,0.0006,1.5044,1.5061,1.5038,62574,N.A.
03:00 - 04:00,1.5027,-0.0023,1.505,1.5051,1.5025,73579,N.A.
04:00 - 05:00,1.5011,-0.0016,1.5027,1.5036,1.5003,84007,N.A.
05:00 - 06:00,1.5008,-0.0003,1.5011,1.5016,1.4991,92096,N.A.
06:00 - 07:00,1.5001,-0.0007,1.5008,1.5009,1.4995,75139,N.A.
07:00 - 08:00,1.4977,-0.0024,1.5001,1.5001,1.4972,81274,N.A.
08:00 - 09:00,1.4966,-0.0011,1.4977,1.498,1.4957,98802,N.A.
09:00 - 10:00,1.4981,0.0015,1.4966,1.4995,1.4966,98834,N.A.
10:00 - 11:00,1.4985,0.0004,1.4981,1.5005,1.4978,120809,N.A.
11:00 - 12:00,1.4999,0.0014,1.4985,1.5011,1.498,95609,N.A.
12:00 - 13:00,1.5009,0.001,1.4999,1.5012,1.4999,66647,N.A.
13:00 - 14:00,1.5011,0.0002,1.5009,1.5012,1.5004,58734,N.A.
14:00 - 15:00,1.4996,-0.0015,1.5011,1.5011,1.4995,54649,N.A.
15:00 - 16:00,1.5008,0.0012,1.4996,1.5009,1.4995,43527,N.A.
