Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
07FEB2008_00:00:00.000,,,,,,,
09:30 - 10:30,1331.37,4.92,1324.01,1337.49,1316.75,240,N.A.
10:30 - 11:30,1323.51,-7.86,1331.04,1332.49,1322.37,240,N.A.
11:30 - 12:30,1329.38,5.87,1324.23,1329.62,1321.81,240,N.A.
12:30 - 13:30,1336.51,7.13,1329.07,1338.2,1329.07,240,N.A.
13:30 - 14:30,1339.43,2.92,1336.43,1347.16,1335.18,239,N.A.
14:30 - 15:30,1332.57,-6.86,1338.91,1338.91,1323.34,240,N.A.
15:30 - 16:30,1336.91,4.34,1332.53,1337.19,1329.92,178,N.A.
08FEB2008_00:00:00.000,,,,,,,
09:30 - 10:30,1337.18,0.27,1336.88,1339.49,1329.47,240,N.A.
10:30 - 11:30,1336.67,-0.51,1336.7,1341.22,1333.97,240,N.A.
11:30 - 12:30,1332.09,-4.58,1336.55,1337.95,1327.62,240,N.A.
12:30 - 13:30,1327.33,-4.76,1331.78,1332.49,1324.77,240,N.A.
13:30 - 14:30,1330.53,3.2,1327.27,1331.18,1321.06,238,N.A.
14:30 - 15:30,1329.42,-1.11,1329.47,1330.72,1324.89,240,N.A.
15:30 - 16:30,1331.29,1.87,1329.95,1336.37,1328.91,180,N.A.
11FEB2008_00:00:00.000,,,,,,,
09:30 - 10:30,1323.94,-7.35,1331.92,1332.46,1320.32,240,N.A.
10:30 - 11:30,1329.45,5.51,1324.05,1332.29,1322.38,240,N.A.
11:30 - 12:30,1330.49,1.04,1329.05,1334.01,1327.15,240,N.A.
12:30 - 13:30,1339.52,9.03,1330.69,1340.17,1330.07,240,N.A.
13:30 - 14:30,1335.76,-3.76,1340.96,1340.96,1335.66,240,N.A.
14:30 - 15:30,1340.2,4.44,1335.88,1341.4,1334.09,240,N.A.
15:30 - 16:30,1339.13,-1.07,1339.54,1340.45,1336.14,179,N.A.
12FEB2008_00:00:00.000,,,,,,,
09:30 - 10:30,1356.27,17.14,1340.55,1358.91,1340.55,240,N.A.
10:30 - 11:30,1359.41,3.14,1356.32,1362.1,1355.85,240,N.A.
11:30 - 12:30,1353.41,-6,1359.78,1360.28,1352.58,240,N.A.
12:30 - 13:30,1357.52,4.11,1353.34,1358.06,1349.79,240,N.A.
13:30 - 14:30,1354.63,-2.89,1357.38,1358.63,1353.54,240,N.A.
14:30 - 15:30,1346.3,-8.33,1354.43,1357.05,1343.78,240,N.A.
15:30 - 16:30,1348.86,2.56,1346.76,1349.1,1339.36,180,N.A.
13FEB2008_00:00:00.000,,,,,,,
09:30 - 10:30,1355.16,6.3,1353.12,1363.15,1353.12,239,N.A.
10:30 - 11:30,1357.9,2.74,1355.07,1357.9,1350.78,239,N.A.
11:30 - 12:30,1357.3,-0.6,1357.87,1360.33,1355.1,238,N.A.
12:30 - 13:30,1363.19,5.89,1357.78,1365.37,1357,240,N.A.
13:30 - 14:30,1360.67,-2.52,1362.97,1365.63,1359.66,239,N.A.
14:30 - 15:30,1366.18,5.51,1360.91,1366.97,1360.08,240,N.A.
15:30 - 16:30,1367.21,1.03,1365.48,1369.23,1365.38,180,N.A.
14FEB2008_00:00:00.000,,,,,,,
09:30 - 10:30,1365.78,-1.43,1367.33,1368.16,1361.14,239,N.A.
10:30 - 11:30,1357.08,-8.7,1366.37,1366.92,1354.73,240,N.A.
11:30 - 12:30,1359.95,2.87,1357.35,1359.95,1353.83,240,N.A.
12:30 - 13:30,1352.79,-7.16,1359.25,1359.26,1351.46,240,N.A.
13:30 - 14:30,1354.17,1.38,1353.21,1356.84,1352.34,240,N.A.
14:30 - 15:30,1355.7,1.53,1353.98,1357.68,1347.31,240,N.A.
15:30 - 16:30,1348.86,-6.84,1355.52,1356.09,1347.89,178,N.A.
15FEB2008_00:00:00.000,,,,,,,
09:30 - 10:30,1345.24,-3.62,1347.52,1347.52,1338.62,240,N.A.
10:30 - 11:30,1342.81,-2.43,1345.13,1348.58,1341.15,240,N.A.
11:30 - 12:30,1339.36,-3.45,1342.95,1344.08,1339,240,N.A.
12:30 - 13:30,1340.28,0.92,1339.33,1341.53,1338.13,240,N.A.
13:30 - 14:30,1342.6,2.32,1340.28,1344.72,1340.19,240,N.A.
14:30 - 15:30,1345.02,2.42,1342.67,1347.23,1341.49,240,N.A.
15:30 - 16:30,1349.99,4.97,1344.64,1350,1344.64,180,N.A.
19FEB2008_00:00:00.000,,,,,,,
09:30 - 10:30,1360.54,10.55,1355.86,1367.28,1355.86,238,N.A.
10:30 - 11:30,1354.54,-6,1360.92,1360.92,1353.37,240,N.A.
11:30 - 12:30,1360.37,5.83,1354.89,1360.67,1354.62,240,N.A.
12:30 - 13:30,1362.16,1.79,1359.36,1363.05,1356.18,240,N.A.
13:30 - 14:30,1358.68,-3.48,1362.06,1362.15,1357.44,240,N.A.
14:30 - 15:30,1347.01,-11.67,1358.61,1358.61,1345.77,240,N.A.
15:30 - 16:30,1348.78,1.77,1347.06,1351.73,1345.05,180,N.A.
20FEB2008_00:00:00.000,,,,,,,
09:30 - 10:30,1341.98,-6.8,1348.39,1348.39,1336.55,240,N.A.
10:30 - 11:30,1343.03,1.05,1342.16,1344.5,1339.17,240,N.A.
11:30 - 12:30,1351.65,8.62,1342.88,1354.03,1340.57,240,N.A.
12:30 - 13:30,1351.18,-0.47,1351.47,1357.37,1350.51,239,N.A.
13:30 - 14:30,1352.39,1.21,1351.17,1357.7,1349.11,240,N.A.
14:30 - 15:30,1356.59,4.2,1352.73,1363.71,1351.86,240,N.A.
15:30 - 16:30,1360.03,3.44,1356.94,1360.09,1355.32,180,N.A.
21FEB2008_00:00:00.000,,,,,,,
09:30 - 10:30,1361.06,1.03,1362.21,1367.94,1358.67,240,N.A.
10:30 - 11:30,1356.24,-4.82,1361.76,1361.85,1352.79,240,N.A.
11:30 - 12:30,1352.32,-3.92,1356.79,1359.38,1351.13,240,N.A.
12:30 - 13:30,1348.95,-3.37,1352.24,1353.61,1346.37,240,N.A.
13:30 - 14:30,1350.98,2.03,1349.3,1351.27,1344.67,240,N.A.
14:30 - 15:30,1343.84,-7.14,1351.17,1351.46,1340.66,240,N.A.
15:30 - 16:30,1342.53,-1.31,1343.93,1345.4,1339.34,180,N.A.
22FEB2008_00:00:00.000,,,,,,,
09:30 - 10:30,1336.28,-6.25,1344.22,1348.22,1333.97,240,N.A.
10:30 - 11:30,1335.27,-1.01,1336.96,1336.96,1330.76,240,N.A.
11:30 - 12:30,1330.05,-5.22,1335.78,1337.63,1328.98,240,N.A.
12:30 - 13:30,1331.36,1.31,1330.37,1334.48,1328.33,240,N.A.
13:30 - 14:30,1330.06,-1.3,1330.78,1333.04,1328.65,239,N.A.
14:30 - 15:30,1333.88,3.82,1329.7,1334.47,1327.04,240,N.A.
15:30 - 16:30,1353.11,19.23,1334.22,1354.3,1333.66,180,N.A.
25FEB2008_00:00:00.000,,,,,,,
09:30 - 10:30,1358.18,5.07,1352.75,1358.18,1346.03,240,N.A.
10:30 - 11:30,1360.05,1.87,1358.32,1362.91,1356.27,239,N.A.
11:30 - 12:30,1353.32,-6.73,1360.04,1360.04,1351.81,239,N.A.
12:30 - 13:30,1353.36,0.04,1353.47,1358.3,1352.35,240,N.A.
13:30 - 14:30,1367.93,14.57,1353.15,1368.27,1350.58,239,N.A.
14:30 - 15:30,1367.87,-0.06,1367.8,1370.05,1357.77,239,N.A.
15:30 - 16:30,1371.8,3.93,1368.02,1374.36,1366.76,180,N.A.
26FEB2008_00:00:00.000,,,,,,,
09:30 - 10:30,1365.72,-6.08,1371.76,1371.76,1363.89,241,N.A.
10:30 - 11:30,1373.69,7.97,1364.99,1374.11,1363.29,239,N.A.
11:30 - 12:30,1383.62,9.93,1373.59,1385.57,1373,240,N.A.
12:30 - 13:30,1382.31,-1.31,1383.66,1387.34,1381.01,240,N.A.
13:30 - 14:30,1383,0.69,1382.32,1384.12,1379.53,240,N.A.
14:30 - 15:30,1380.84,-2.16,1382.99,1386.03,1376.27,241,N.A.
15:30 - 16:30,1381.29,0.45,1381.99,1381.99,1377.38,180,N.A.
27FEB2008_00:00:00.000,,,,,,,
09:30 - 10:30,1374.24,-7.05,1378.95,1380.38,1372,240,N.A.
10:30 - 11:30,1383.44,9.2,1373.5,1388.34,1373.5,240,N.A.
11:30 - 12:30,1384.19,0.75,1384.3,1387.98,1383.31,240,N.A.
12:30 - 13:30,1385.63,1.44,1384.02,1387.65,1383.83,240,N.A.
13:30 - 14:30,1375.28,-10.35,1385.6,1386.1,1374.47,240,N.A.
14:30 - 15:30,1383.14,7.86,1375.46,1383.25,1375.15,240,N.A.
15:30 - 16:30,1380.02,-3.12,1383.11,1383.36,1377.95,180,N.A.
28FEB2008_00:00:00.000,,,,,,,
09:30 - 10:30,1374.7,-5.32,1378.16,1378.16,1368.04,240,N.A.
10:30 - 11:30,1366.32,-8.38,1374.44,1376.88,1365.36,239,N.A.
11:30 - 12:30,1366.75,0.43,1365.65,1367.29,1363.16,240,N.A.
12:30 - 13:30,1365.52,-1.23,1366.45,1369.9,1365.25,240,N.A.
13:30 - 14:30,1372.19,6.67,1365.8,1373.1,1364.75,240,N.A.
14:30 - 15:30,1366.9,-5.29,1371.81,1374.08,1366.38,240,N.A.
15:30 - 16:30,1367.68,0.78,1366.8,1369.57,1365.99,180,N.A.
29FEB2008_00:00:00.000,,,,,,,
09:30 - 10:30,1344.12,-23.56,1364.07,1364.07,1342.48,240,N.A.
10:30 - 11:30,1344.59,0.47,1344.14,1344.94,1340.88,240,N.A.
11:30 - 12:30,1346.02,1.43,1343.78,1346.78,1341.69,240,N.A.
12:30 - 13:30,1343.8,-2.22,1345.91,1346.32,1342.28,240,N.A.
