Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
20:00 - 21:00,119.18,0.11,119.07,119.28,119,17854,N.A.
21:00 - 22:00,119.18,0,119.18,119.29,119.06,13082,N.A.
22:00 - 23:00,119.21,0.03,119.18,119.3,119.14,12789,N.A.
23:00 - 00:00,119.02,-0.19,119.21,119.22,118.8,17039,N.A.
13JAN2009_00:00:00.000,,,,,,,
00:00 - 01:00,118.46,-0.56,119.02,119.03,118.28,19938,N.A.
01:00 - 02:00,118.42,-0.04,118.46,118.69,118.4,22598,N.A.
02:00 - 03:00,118.47,0.05,118.43,118.48,117.71,29260,N.A.
03:00 - 04:00,117.95,-0.52,118.48,118.65,117.73,31326,N.A.
04:00 - 05:00,118.24,0.29,117.95,118.35,117.78,28293,N.A.
05:00 - 06:00,118.53,0.29,118.24,118.84,118.14,29230,N.A.
06:00 - 07:00,118.69,0.16,118.53,118.71,118.36,25330,N.A.
07:00 - 08:00,118.54,-0.15,118.68,118.8,118.19,27729,N.A.
08:00 - 09:00,118.48,-0.06,118.54,119.14,118.32,36481,N.A.
09:00 - 10:00,118.75,0.27,118.48,118.93,118.32,33478,N.A.
10:00 - 11:00,118.02,-0.73,118.75,118.91,117.99,34101,N.A.
11:00 - 12:00,118.28,0.26,118.02,118.6,118.01,30012,N.A.
12:00 - 13:00,118.18,-0.1,118.28,118.39,117.99,23365,N.A.
13:00 - 14:00,117.24,-0.94,118.18,118.3,117.24,22875,N.A.
14:00 - 15:00,117.45,0.21,117.24,117.69,117.18,27192,N.A.
15:00 - 16:00,117.53,0.08,117.45,117.67,117.13,21157,N.A.
16:00 - 17:00,117.81,0.28,117.53,117.97,117.52,13139,N.A.
17:00 - 18:00,117.81,0,117.81,117.89,117.72,8397,N.A.
18:00 - 19:00,117.98,0.17,117.81,117.98,117.72,11475,N.A.
19:00 - 20:00,118.05,0.07,117.98,118.09,117.84,15784,N.A.
20:00 - 21:00,118.54,0.49,118.04,118.73,118.04,20966,N.A.
21:00 - 22:00,118.79,0.25,118.54,118.8,118.48,12574,N.A.
22:00 - 23:00,118.6,-0.19,118.79,118.9,118.57,14267,N.A.
23:00 - 00:00,118.65,0.05,118.6,118.71,118.53,13170,N.A.
14JAN2009_00:00:00.000,,,,,,,
00:00 - 01:00,119.25,0.6,118.65,119.39,118.65,19514,N.A.
01:00 - 02:00,119.28,0.03,119.25,119.5,119,20976,N.A.
02:00 - 03:00,119.51,0.23,119.28,119.67,118.94,23283,N.A.
03:00 - 04:00,118.61,-0.9,119.51,119.74,118.38,29735,N.A.
04:00 - 05:00,118,-0.61,118.61,118.61,117.96,32057,N.A.
05:00 - 06:00,118.65,0.65,118.03,118.68,117.98,26167,N.A.
06:00 - 07:00,118.24,-0.41,118.65,118.69,118.21,22473,N.A.
07:00 - 08:00,117.99,-0.25,118.24,118.42,117.94,25634,N.A.
08:00 - 09:00,116.82,-1.17,117.99,118.01,116.74,35309,N.A.
09:00 - 10:00,116.72,-0.1,116.82,117.03,116.58,32943,N.A.
10:00 - 11:00,116.9,0.18,116.72,117.18,116.66,33035,N.A.
11:00 - 12:00,117.64,0.74,116.9,117.67,116.68,29065,N.A.
12:00 - 13:00,117.54,-0.1,117.64,117.72,117.06,21414,N.A.
13:00 - 14:00,117.16,-0.38,117.54,117.6,117.12,19404,N.A.
14:00 - 15:00,117.31,0.15,117.16,117.61,116.97,20325,N.A.
15:00 - 16:00,117.19,-0.12,117.31,117.34,116.8,21535,N.A.
16:00 - 17:00,117.46,0.27,117.19,117.48,117.17,13440,N.A.
17:00 - 18:00,117.02,-0.44,117.46,117.47,117.02,9849,N.A.
18:00 - 19:00,117.79,0.77,117.02,117.92,117.01,15878,N.A.
19:00 - 20:00,117.47,-0.32,117.79,117.89,117.42,21365,N.A.
20:00 - 21:00,117.34,-0.13,117.47,117.65,117.24,18748,N.A.
