Time Interval,Close,Net Chg,Open,High,Low,Tick Count,Volume
18:00 - 19:00,118.66,0.09,118.57,118.7,118.51,56209,N.A.
19:00 - 20:00,118.74,0.08,118.66,118.86,118.65,69720,N.A.
20:00 - 21:00,119.01,0.27,118.74,119.01,118.74,65294,N.A.
21:00 - 22:00,119.07,0.06,119.01,119.17,119.01,54334,N.A.
22:00 - 23:00,119.02,-0.05,119.07,119.11,118.89,50724,N.A.
23:00 - 00:00,119.05,0.03,119.02,119.1,118.98,50558,N.A.
07JAN2015_00:00:00.000,,,,,,,
00:00 - 01:00,118.88,-0.17,119.05,119.07,118.81,54906,N.A.
01:00 - 02:00,119.04,0.16,118.88,119.1,118.8,55864,N.A.
02:00 - 03:00,119.05,0.01,119.04,119.25,118.92,87721,N.A.
03:00 - 04:00,119.08,0.03,119.05,119.2,118.97,105513,N.A.
04:00 - 05:00,118.83,-0.25,119.08,119.1,118.7,96199,N.A.
05:00 - 06:00,119.15,0.32,118.83,119.2,118.77,105094,N.A.
06:00 - 07:00,119.14,-0.01,119.15,119.17,119.01,83399,N.A.
07:00 - 08:00,119.17,0.03,119.14,119.23,119.03,81398,N.A.
08:00 - 09:00,119.41,0.24,119.17,119.55,119.16,129915,N.A.
09:00 - 10:00,119.51,0.1,119.41,119.57,119.3,116001,N.A.
10:00 - 11:00,119.45,-0.06,119.51,119.65,119.41,130690,N.A.
11:00 - 12:00,119.53,0.08,119.45,119.55,119.3,98429,N.A.
12:00 - 13:00,119.49,-0.04,119.53,119.58,119.43,73041,N.A.
13:00 - 14:00,119.27,-0.22,119.49,119.52,119.22,66260,N.A.
14:00 - 15:00,118.95,-0.32,119.27,119.53,118.85,129327,N.A.
15:00 - 16:00,119.15,0.2,118.95,119.2,118.95,87761,N.A.
16:00 - 17:00,119.26,0.11,119.15,119.26,119.07,52967,N.A.
17:00 - 18:00,119.33,0.07,119.26,119.36,119.22,38738,N.A.
18:00 - 19:00,119.28,-0.05,119.33,119.41,119.25,51765,N.A.
19:00 - 20:00,119.45,0.17,119.28,119.48,119.16,70196,N.A.
20:00 - 21:00,119.68,0.23,119.45,119.72,119.37,68241,N.A.
21:00 - 22:00,119.72,0.04,119.68,119.76,119.61,54393,N.A.
22:00 - 23:00,119.68,-0.04,119.72,119.82,119.62,53514,N.A.
23:00 - 00:00,119.75,0.07,119.68,119.8,119.64,54091,N.A.
08JAN2015_00:00:00.000,,,,,,,
00:00 - 01:00,119.7,-0.05,119.73,119.75,119.64,52701,N.A.
01:00 - 02:00,119.87,0.17,119.7,119.9,119.7,55480,N.A.
02:00 - 03:00,119.81,-0.06,119.87,119.96,119.79,63756,N.A.
03:00 - 04:00,119.75,-0.06,119.81,119.86,119.69,73752,N.A.
04:00 - 05:00,119.75,0,119.75,119.84,119.68,73593,N.A.
05:00 - 06:00,119.84,0.09,119.75,119.88,119.75,70101,N.A.
06:00 - 07:00,119.81,-0.03,119.84,119.86,119.76,62911,N.A.
07:00 - 08:00,119.73,-0.08,119.81,119.9,119.73,67576,N.A.
